분류,자치구,공연/행사명,날짜/시간,장소,기관명,이용대상,이용요금,출연자정보,프로그램소개,기타내용,홈페이지?주소,대표이미지,신청일,시민/기관,시작일,종료일,테마분류
클래식,마포구, M 아티스트 2023 김도현 피아노 리사이틀 II,2023-12-05~2023-12-05, (화) 20:00,, 8세이상관람가[미취학아동입장불가]," VIP석 55,000원, R석 44,000원, S석 33,000원",피아니스트 김도현,,,https://www.mfac.or.kr/performance/whole_view.jsp?sc_b_category=17&sc_b_code=BOARD_1207683401&pk_seq=2176&page=1,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=6a59720cd9c34bbfa056eb6b5031f809&thumb=Y,2023-03-15,기관,2023-12-05,2023-12-05,기타
콘서트,강동구,"Dear Next Generation, 유다빈밴드(YUDABINBAND)",2023-09-28~2023-09-28,강동아트센터 대극장 한강,,14세이상 관람가,"R석 66,000원 S석 44,000원",,,,http://www.gdfac.or.kr/web/lay2/program/S1T204C211/show/view.do?show_seq=1925&cpage=2&rows=10&keyword=&place=&start_dt=&end_dt=,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=c694a4f0777040b994e88390c2b982b1&thumb=Y,2023-03-02,기관,2023-09-28,2023-09-28,기타
콘서트,강동구,"Dear Next Generation, 라쿠나(LACUNA)",2023-06-30~2023-06-30,강동아트센터 대극장 한강,,14세이상 관람가,"R석 66,000원 S석 44,000원",,,,http://www.gdfac.or.kr/web/lay2/program/S1T204C211/show/view.do?show_seq=1924&cpage=1&rows=10&keyword=&place=&start_dt=&end_dt=,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=9ed79127f4af4011934a1b4543a3ef65&thumb=Y,2023-02-28,기관,2023-06-30,2023-06-30,기타
국악,강동구,6월 한밤의 공연 산책 [만보와 별별머리],2023-06-30~2023-06-30,강동아트센터 소극장 드림,,36개월이상 관람가,"전석 20,000원",,,,http://www.gdfac.or.kr/web/lay2/program/S1T204C211/show/view.do?show_seq=1944&cpage=1&rows=999&keyword=&place=&start_dt=&end_dt=,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=e9d8104ec63a4e2a87eb15b69d3b0bb8&thumb=Y,2023-04-24,기관,2023-06-30,2023-06-30,기타
콘서트,광진구,2023 [나루 뮤지컬 나잇],2023-06-24~2023-06-24,나루아트센터 대공연장,,중학생 이상,"R석 60,000원 / S석 40,000원",,,,https://www.naruart.or.kr/bbs/board.php?bo_table=performance&wr_id=823&page=2,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=dd79fddeee47453aa1944653ee7c098f&thumb=Y,2023-02-15,기관,2023-06-24,2023-06-24,기타
콘서트,강북구,송대관 콘서트,2023-06-24~2023-06-24,성신여대 운정그린캠퍼스 대강당,,누구나,전석 5만원 (강북구민 특별할인 1만원),,,,http://www.gbcf.or.kr/load.asp?subPage=110.view&cate=A&idx=148,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=de15e7f858704a77bf1a9eadf735767a&thumb=Y,2023-04-21,기관,2023-06-24,2023-06-24,기타
무용,중구,국립무용단 [산조],2023-06-23~2023-06-25,국립극장 해오름,국립극장 국립무용단 ,8세 이상 관람가,"VIP석 7만원, R석 5만원, S석 3만원, A석 2만원",국립무용단,,,https://me2.do/5t4dt9a7,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=7a87acb9dcec4782af0c1c033b7b1745&thumb=Y,2023-04-25,기관,2023-06-23,2023-06-25,
국악,중구,음악극 시인의 나라,2023-06-23~2023-06-24,서울남산국악당,,7세 이상,"전석 20,000원",,,,https://www.hanokmaeul.or.kr/ko/g/perf/%ec%9d%8c%ec%95%85%ea%b7%b9_%ec%8b%9c%ec%9d%b8%ec%9d%98-%eb%82%98%eb%9d%bc,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=9ba19fe6e0ba48d890fd1c5ca2468cd2&thumb=Y,2023-03-24,기관,2023-06-23,2023-06-24,기타
연극,강동구,연극 '벽 속의 요정',2023-06-23~2023-06-24,강동아트센터 소극장 드림,,8세(취학아동) 이상 관람가,"R석 44,000원 S석 33,000원",,,,http://www.gdfac.or.kr/web/lay2/program/S1T204C211/show/view.do?show_seq=1931&cpage=2&rows=10&keyword=&place=&start_dt=&end_dt=,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=e6675075162249b0a7a544534182c761&thumb=Y,2023-03-23,기관,2023-06-23,2023-06-24,기타
콘서트,마포구,2023 M 레트로 시리즈 《어떤가요 #5》 '3 Rockers',2023-06-21~2023-06-21,마포아트센터 아트홀맥,, 8세 이상 관람가[미취학아동입장불가]," R 66,000원, S 55,000원, A 44,000원","김종서, 김바다, 김상민",,,https://www.mfac.or.kr/performance/whole_view.jsp?sc_b_category=17&sc_b_code=BOARD_1207683401&pk_seq=2159&page=1,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=003608d00e4c427ebda2fcdf56bebd9f&thumb=Y,2023-02-15,기관,2023-06-21,2023-06-21,기타
클래식,종로구,2023 세종 체임버 시리즈(6.17) 백혜선,2023-06-17~2023-06-17,세종체임버홀,,만 7세 이상,"R석 70,000원 / S석 50,000원",,,,https://www.sejongpac.or.kr/portal/performance/performance/view.do?performIdx=34076&menuNo=200004,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=bd4de85f780f4e429a8bb376f2135301&thumb=Y,2023-04-17,기관,2023-06-17,2023-06-17,기타
클래식,종로구,2023 세종 체임버 시리즈(6.16) 박재홍,2023-06-16~2023-06-16,세종체임버홀,,만 7세 이상,"R석 70,000원 /S석 50,000원",,,,https://www.sejongpac.or.kr/portal/performance/performance/view.do?performIdx=34075&menuNo=200004,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=c920affb92a44965ac7e039f9ae17bde&thumb=Y,2023-04-17,기관,2023-06-16,2023-06-16,기타
클래식,종로구,2023 세종 체임버 시리즈(6.15) 마르틴 가르시아 가르시아,2023-06-15~2023-06-15,세종체임버홀,,만 7세 이상,"R석 70,000원 / S석 50,000원",,,,https://www.sejongpac.or.kr/portal/performance/performance/view.do?performIdx=34074&menuNo=200004,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ef50fe12ffd942bc8ca3abe8d94f01d7&thumb=Y,2023-04-17,기관,2023-06-15,2023-06-15,기타
클래식,은평구,2023 세종 체임버 시리즈(6.14) 이혁,2023-06-14~2023-06-14,세종체임버홀,,만 7세 이상,"R석 70,000원 / S석 50,000원",,,,https://www.sejongpac.or.kr/portal/performance/performance/view.do?performIdx=34073&menuNo=200004,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=22c23013e9f849dc8c3f7f18e4570c0b&thumb=Y,2023-04-17,기관,2023-06-14,2023-06-14,기타
전시/미술,강동구,고양이를 그린 화가 [루이스 웨인展],2023-06-13~2023-08-31,강동아트센터 아트랑 1-3층,,전체 관람가,"어린이 12,000원 성인 15,000원 ※ 36개월 미만 아동 무료 입장(증빙자료 지참)",,,,http://www.gdfac.or.kr/web/lay2/program/S1T204C211/show/view.do?show_seq=1943&cpage=1&rows=999&keyword=&place=&start_dt=&end_dt=,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=42eda8e3e89b47cabffe657fd907f7a4&thumb=Y,2023-04-19,기관,2023-06-13,2023-08-31,기타
뮤지컬/오페라,강동구,뮤지컬 [이상한 엄마],2023-06-09~2023-06-11,강동아트센터 대극장 한강,,12개월 이상 관람가,"R석 66,000원 S석 55,000원 A석 33,000원",,,,http://www.gdfac.or.kr/web/lay2/program/S1T204C211/show/view.do?show_seq=1923&cpage=1&rows=10&keyword=&place=&start_dt=&end_dt=,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=02ac61770a7b46b29b96b8b7d0e52396&thumb=Y,2023-03-13,기관,2023-06-09,2023-06-11,기타
콘서트,노원구,나윤선 JAZZ 콘서트,2023-06-09~2023-06-09,노원문화예술회관 대공연장,,8세 이상,"R석 5만원(1층), A석 3만원(2층)",,,,https://www.nowonarts.kr/html/pe/performancedetail.php?param_url=https%3A%2F%2Fwww.nowonarts.kr%2Fhtml%2Fpe%2Fperformanceinfo.php%3F%26cate%3D%26skin%3D%26search_state%3D1%26search_syear%3D%26search_smonth%3D%26search_eyear%3D%26search_emonth%3D%26search_order%3D%26search_startPage%3D&idx=326,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=fc971e660ed647d993bde015e879d709&thumb=Y,2023-04-13,기관,2023-06-09,2023-06-09,기타
연극,금천구,연극 [회란기],2023-06-02~2023-06-03,금나래아트홀,,홈페이지 참고,"전석 30,000원(할인율 상세페이지 참조)",,,,https://gcfac.or.kr/performance/commonView?gcfac_menu_cd=U0007&currRow=1&seq_no=3546&perDisGubun=performance&returnURI=%2Fperformance%2FcurrentList&serhDate=&serhPerforDisplay=&serhTitle=,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=e6f93199180d4df889dfef06dcb3f876&thumb=Y,2023-04-26,기관,2023-06-02,2023-06-03,기타
전시/미술,종로구,스니커즈 언박스드 서울,2023-05-31~2023-09-10,세종미술관 1관 세종미술관 2관,,전체관람,"성인 20,000원 /청소년 15,000원 (만 13세~만 18세) / 만 12세 미만 무료 ",,,,https://www.sejongpac.or.kr/portal/performance/performance/view.do?performIdx=34084&menuNo=200004,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=b0543acd69e546d8a1a5d76995ca0a07&thumb=Y,2023-04-19,기관,2023-05-31,2023-09-10,기타
클래식,구로구,2023 브런치콘서트 [이달의 공연] 시즌1,2023-05-30~2023-11-28,구로아트밸리 예술극장,,7세 이상 관람가,"전석 10,000원 / 단체10인 이상 할인 20% (전화예매필수)",,,,https://www.guroartsvalley.or.kr/user/performance/performanceView.do?performanceSeq=3642&page=1,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=a7ba05156efe4a57a78e2ab268590603&thumb=Y,2023-04-26,기관,2023-05-30,2023-11-28,기타
뮤지컬/오페라,구로구,엘사의 생일파티,2023-05-27~2023-05-28,구로아트밸리 예술극장,,24개월 이상 관람가 (1인 1티켓),"R석(1층) 44,000원",,,,https://www.guroartsvalley.or.kr/user/performance/performanceView.do?performanceSeq=3637&page=1,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=1cf92f345141408e90da81e84077404e&thumb=Y,2023-03-09,기관,2023-05-27,2023-05-28,어린이/청소년 문화행사
국악,종로구,2023 돈화문 음악극축제 향기장수 이야기,2023-05-27~2023-05-28,서울돈화문국악당,,전체관람가,"전석 20,000원",,,,https://sdtt.or.kr/user/program/2023/5/1314,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=2d58093e36a144e783d8efd36c8e5307&thumb=Y,2023-04-18,기관,2023-05-27,2023-05-28,기타
축제-문화/예술,종로구,2023 D.FESTA 거리공연축제,2023-05-26~2023-05-28,마로니에공원 일대,,남녀노소 누구나!,,,,,https://www.d-festa.com/,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=263723299d354b78a04ac34336f050a7&thumb=Y,2023-04-13,기관,2023-05-26,2023-05-28,
축제-문화/예술,용산구,2023 제25회 서울드럼페스티벌,2023-05-26~2023-05-27,노들섬 복합문화공간,,전국민 누구나,무료,,,,http://www.seouldrum.go.kr,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=62ab8f4cd9b44ed3b2c4b7dd30eb4233&thumb=Y,2023-04-17,기관,2023-05-26,2023-05-27,기타
교육/체험,종로구,전통문화공간 무계원 [2023 연고백차전 : 천년을 이어온 우리 차],2023-05-26~2023-05-27,전통문화공간 무계원 (서울시 종로구 창의문로 5가길 2),,시민 누구나,,,,,https://mugyewon.wixsite.com/mugyewon/%EC%97%B0%EB%9D%BD%EC%A3%BC%EC%84%B8%EC%9A%94,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=9f90e4a545594030bae1130b9a804bea&thumb=Y,2023-04-07,기관,2023-05-26,2023-05-27,기타
무용,강동구,국립현대무용단 힙합 [HIP合],2023-05-26~2023-05-27,강동아트센터 대극장 한강,,8세이상 관람가(미취학 아동 관람불가),"R석 40,000원 S석 30,000원 A석 20,000원",,,,http://www.gdfac.or.kr/web/lay2/program/S1T204C211/show/view.do?show_seq=1922&cpage=1&rows=10&keyword=&place=&start_dt=&end_dt=,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=e8288a545f07455099f3356443b10c1b&thumb=Y,2023-03-06,기관,2023-05-26,2023-05-27,기타
클래식,노원구,2023 서울시향 뮤지엄 콘서트 : 서울시립 북서울미술관,2023-05-26~2023-05-26,서울시립 북서울미술관,,홈페이지 참고,무료,,,,https://www.seoulphil.or.kr/perf/view?perfNo=5479&calendarDate=2023/05/26&langCd=ko&menuFlag=MFLG0001,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=6d451af953cf432f855ee2c003016e78&thumb=Y,2023-04-11,기관,2023-05-26,2023-05-26,
클래식,종로구,2023 서울시향 뮤지엄 콘서트 : 서울역사박물관,2023-05-26~2023-05-26,서울역사박물관,,홈페이지 참고,무료,,,,https://www.seoulphil.or.kr/perf/view?perfNo=5477&calendarDate=2023/05/26&langCd=ko&menuFlag=MFLG0001,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=2eb6a645786b4d36923f45e29075bbb4&thumb=Y,2023-04-11,기관,2023-05-26,2023-05-26,
무용,종로구,일무,2023-05-25~2023-05-28,세종대극장,,만 7세 이상 ,"VIP 80,000원 R석 60,000원 S석 40,000원 A석 30,000원 ",,,,https://www.sejongpac.or.kr/portal/performance/performance/view.do?performIdx=33859&menuNo=200004,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=9db64306c666479f857cb9e2831a818c&thumb=Y,2023-02-03,기관,2023-05-25,2023-05-28,기타
클래식,용산구,2023 서울시향 뮤지엄 콘서트 : 국립중앙박물관,2023-05-25~2023-05-25,국립중앙박물관 으뜸홀,,홈페이지 참고,무료,,,,https://www.seoulphil.or.kr/perf/view?perfNo=5475&calendarDate=2023/05/25&langCd=ko&menuFlag=MFLG0001,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=762c778a867a4e689e3854371ee2946e&thumb=Y,2023-04-11,기관,2023-05-25,2023-05-25,
교육/체험,양천구,[양천중앙도서관] 월간도서관,2023-05-24~2023-05-24,양천중앙도서관 B1층 중앙홀,,양천구민 100명,,,,,https://lib.yangcheon.or.kr/yclib/edusat/view.do?edu_idx=2835&prepage=%2Fyclib%2Fedusat%2Flist.do,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=cfb4c9186580446babb99a397b44d2e6&thumb=Y,2023-04-10,기관,2023-05-24,2023-05-24,기타
클래식,종로구,2023 서울시향 뮤지엄 콘서트 :  서울공예박물관,2023-05-24~2023-05-24,서울공예박물관,,홈페이지 참고,무료,,,,https://www.seoulphil.or.kr/perf/view?perfNo=5473&calendarDate=2023/05/24&langCd=ko&menuFlag=MFLG0001,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=29c08f2f79594898b615b21dde5f1bec&thumb=Y,2023-04-11,기관,2023-05-24,2023-05-24,
클래식,송파구,2023 서울시향 뮤지엄 콘서트 : 한성백제박물관 ②,2023-05-22~2023-05-22,한성백제박물관,,홈페이지 참고,무료,,,,https://www.seoulphil.or.kr/perf/view?perfNo=5471&calendarDate=2023/05/22&langCd=ko&menuFlag=MFLG0001,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=7b4fdd87b1674abcbe6cd812cc41ff7f&thumb=Y,2023-04-11,기관,2023-05-22,2023-05-22,
클래식,송파구,2023 서울시향 뮤지엄 콘서트 : 한성백제박물관 ①,2023-05-22~2023-05-22,한성백제박물관,,홈페이지 참고,무료,,,,https://www.seoulphil.or.kr/perf/view?perfNo=5469&calendarDate=2023/05/22&langCd=ko&menuFlag=MFLG0001,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=8698a743f133461f9d3db714ebba8ba3&thumb=Y,2023-04-11,기관,2023-05-22,2023-05-22,
축제-문화/예술,성북구,[성북문화재단] 제15회 성북세계음식축제 누리마실,2023-05-21~2023-05-21,성북로 일대 (성북1동 치안센터 건너편~홍익중고 앞 버스정류장),,시민 누구나,,,,,https://www.sbculture.or.kr/culture/bbs/BMSR00005/view.do?boardId=20085&menuNo=500144,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=57d40d28641a470ab270c0716cf600c8&thumb=Y,2023-04-19,기관,2023-05-21,2023-05-21,기타
클래식,종로구,세종 어린이 시리즈 Ⅰ `오케스트라 여행`,2023-05-21~2023-05-21,세종대극장,,48개월 이상 ,"VIP석 50,000원 R석 40,000원 S석 30,000원 A석 20,000원 B석 10,000원 ",,,,https://www.sejongpac.or.kr/portal/performance/performance/view.do?performIdx=33857&menuNo=200004,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=30c6863c2977460cb4c13d4e53ea5d88&thumb=Y,2023-02-03,기관,2023-05-21,2023-05-21,기타
클래식,마포구,임현정의 인터스텔라 페스티벌,2023-05-21~2023-05-21,마포아트센터 아트홀맥,, 8세이상 관람가능," R석 100,000원 S석 80,000원 A석 60,000원 B석 50,000원",,,,https://www.mfac.or.kr/performance/whole_view.jsp?sc_b_category=17&sc_b_code=BOARD_1207683401&pk_seq=2181&page=1,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=1f30b2fff60e4576b69873c959de697f&thumb=Y,2023-03-22,기관,2023-05-21,2023-05-21,기타
교육/체험,송파구,"[꿈마을놀이체험교실] 누가누가 잘하나, 우리놀이 (온라인)",2023-05-20~2023-06-04,몽촌역사관,,초등학교 1~4학년(동반가족),,,,,http://baekjemuseum.seoul.go.kr/dreamvillage/board/notice/index.jsp?mpid=SDM0401000000&mmode=list,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=fdbf1cf696bc477e9c0acbab3c02e20a&thumb=Y,2023-04-09,기관,2023-05-20,2023-06-04,어린이/청소년 문화행사
전시/미술,강남구,제43회 전통공예명품전,2023-05-20~2023-05-26,국가무형문화재전수교육관 별관 3층 전시장(서울시 강남구 봉은사로 406),,전국민대상,무료,,(사)국가무형문화재기능협회 회원전,,http://www.kpicaa.co.kr/event01/,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=9d3bc3b7b7dd4ed1b004db9643c5e008&thumb=Y,2023-04-05,기관,2023-05-20,2023-05-26,기타
국악,종로구,2023 돈화문 음악극축제 오냐나무와 아냐벌레,2023-05-20~2023-05-21,서울돈화문국악당,,전체관람가,"전석 20,000원",,,,https://sdtt.or.kr/user/program/2023/5/1310,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=503b5ade0b8c4edf8cc6280416a03419&thumb=Y,2023-04-18,기관,2023-05-20,2023-05-21,기타
클래식,강동구,전래동화 클래식 [별주부전],2023-05-20~2023-05-20,강동아트센터 대극장 한강,,5세 이상 관람가,"전석 20,000원",,,,http://www.gdfac.or.kr/web/lay2/program/S1T204C211/show/view.do?show_seq=1942&cpage=1&rows=999&keyword=&place=&start_dt=&end_dt=,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=885bf43da5b84a8a8498a32731286d82&thumb=Y,2023-04-19,기관,2023-05-20,2023-05-20,기타
국악,중구,2023 남산소리극축제-창작하는 타루 : 말하는 원숭이,2023-05-20~2023-05-20,서울남산국악당,,전체관람가,"전석 30,000원",,,,https://www.hanokmaeul.or.kr/ko/g/perf/2023-%eb%82%a8%ec%82%b0%ec%86%8c%eb%a6%ac%ea%b7%b9%ec%b6%95%ec%a0%9c-%ec%b0%bd%ec%9e%91%ed%95%98%eb%8a%94-%ed%83%80%eb%a3%a8-%eb%a7%90%ed%95%98%eb%8a%94-%ec%9b%90%ec%88%ad%ec%9d%b4,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=64aca6e4988d48169fd26e4457f8a3c9&thumb=Y,2023-03-24,기관,2023-05-20,2023-05-20,기타
축제-문화/예술,관악구,2023 관악어린이가족축제 [관악봄봄],2023-05-20~2023-05-20,별빛내린천(도림천) 일대,,관악구 구민 모두,,,,,https://www.gfac.or.kr/html/notify/notify1_view.html?pk=1681951387448-b6083de5-51c2-4901-90a1-a9ea13729363,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=dc74a41da0904e108be8d7f9d0e90b00&thumb=Y,2023-04-21,기관,2023-05-20,2023-05-20,문화가 있는 날
교육/체험,양천구,[양천중앙도서관] 도토리마켓,2023-05-20~2023-05-20,양천중앙도서관 1층 야외중정,,초등자녀 10팀,,,,,https://lib.yangcheon.or.kr/yclib/edusat/list.do,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=3a494f36d1b64de6bb85c8957c249192&thumb=Y,2023-04-10,기관,2023-05-20,2023-05-20,어린이/청소년 문화행사
연극,강서구,강서아트리움 개관행사 5월 연극공연,2023-05-19~2023-05-21,강서아트리움 (아리홀),,홈페이지 참고,"20,000원 (할인정보 : 강서구민 10,000원/ 강서구 재직자 10,000원)",,,,https://kcc2000.modoo.at/?link=2glkcxv4&messageNo=149&mode=view&query=&queryType=0&myList=0&page=1,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=0cdbb9696143476c8a9fccdd3e8eccd0&thumb=Y,2023-04-24,기관,2023-05-19,2023-05-21,기타
연극,종로구,창작지원 [할머니의 헝겊인형],2023-05-19~2023-05-21,종로 아이들극장,,48개월 이상,"30,000",,,,https://www.jfac.or.kr/site/child/childProgram/view?pgIdx=265&pgCatCode=,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=43228f6a185341c0ab26050075879193&thumb=Y,2023-04-21,기관,2023-05-19,2023-05-21,어린이/청소년 문화행사
무용,구로구,발레 [클라라 슈만],2023-05-19~2023-05-20,구로아트밸리 예술극장,,만 7세 이상,"R석 50,000원, S석 30,000원",,,,https://www.guroartsvalley.or.kr/user/performance/performanceView.do?performanceSeq=3641&page=1,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=f23e4b1f82d04e8485a8ce0594026fb0&thumb=Y,2023-04-26,기관,2023-05-19,2023-05-20,기타
연극,관악구,G-KID'S : [도채비 방쉬],2023-05-19~2023-05-19,관악아트홀 공연장,,48개월 이상,R석 3만원 / S석 2만원,,,,https://www.gfac.or.kr/html/concert/concert1_view.html?pk=1681351781300-721bb5f4-e99c-4a8e-a274-6580d4eb1ab9,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=949f4ab07d7d45bb91d218a6644ac1c2&thumb=Y,2023-04-19,기관,2023-05-19,2023-05-19,기타
클래식,서초구,2023 서울시향 마르쿠스와 죠슈아 벨 ②,2023-05-19~2023-05-19,예술의전당 콘서트홀,,홈페이지 참고,"R 120,000 S 90,000 A 60,000 B 30,000 C 10,000","(지휘) 마르쿠스 슈텐츠, (협연) 조슈아 벨",,,https://www.seoulphil.or.kr/perf/view?perfNo=5241&calendarDate=2023/05/19&langCd=ko&menuFlag=MFLG0001,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=34eca1fa0f034f68ac23dc1e922d1bdc&thumb=Y,2023-04-11,기관,2023-05-19,2023-05-19,
콘서트,중구,2023 남산골 한옥콘서트 [고요(古謠) Vol.1],2023-05-18~2023-06-08,남산골한옥마을 관훈동 민씨 가옥,,전체,전석 2만원,"안이호, 김율희, 강효주, 성슬기",고즈넉한 한옥에서 즐기는 소규묘 하우스콘서트,,https://www.hanokmaeul.or.kr/ko/h/perform/2023-%eb%82%a8%ec%82%b0%ea%b3%a8-%ed%95%9c%ec%98%a5%ec%bd%98%ec%84%9c%ed%8a%b8-%ea%b3%a0%ec%9a%94%e5%8f%a4%e8%ac%a0-vol-1,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=9efc82823ca74c82b4b72d08eec8dfa1&thumb=Y,2023-04-21,기관,2023-05-18,2023-06-08,
클래식,서초구,2023 서울시향 마르쿠스와 죠슈아 벨 ①,2023-05-18~2023-05-18,예술의전당 콘서트홀,,홈페이지 참고,"R 120,000 S 90,000 A 60,000 B 30,000 C 10,000","(지휘) 마르쿠스 슈텐츠, (협연) 조슈아 벨",,,https://www.seoulphil.or.kr/perf/view?perfNo=5239&calendarDate=2023/05/18&langCd=ko&menuFlag=MFLG0001,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=af35adb50b37442bae1e7a60234dce98&thumb=Y,2023-04-11,기관,2023-05-18,2023-05-18,
클래식,강남구,강남심포니오케스트라 제98회 정기연주회  MASTERPIECE SERIES Ⅸ,2023-05-17~2023-03-17,롯데콘서트홀,,8세 이상,R석 3만원 / S석 2만원 / A석 1만원,,,,https://www.gangnam.go.kr/office/gfac/board/gfac_perform05/67/view.do?mid=gfac_perform0101,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=79d580894de648a5b255672191167ded&thumb=Y,2023-03-22,기관,2023-05-17,2023-03-17,기타
전시/미술,종로구,공예문화 기획전 [나전장의 도안실 : 그림으로 보는 나전],2023-05-16~2023-07-23,서울공예박물관 전시1동 3층 기획전시실,https://craftmuseum.seoul.go.kr,모든 시민,,,,,https://craftmuseum.seoul.go.kr,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=aa42c3c8f03e420aa56cffc08840c4f2&thumb=Y,2023-04-10,기관,2023-05-16,2023-07-23,
교육/체험,송파구,[몽촌토성투어프로그램] 개로왕의 밀지 첩자의 흔적 (학급),2023-05-16~2023-05-24,몽촌역사관,,중1 학금(자유학년제),,,,,https://baekjemuseum.seoul.go.kr/dreamvillage/board/notice/index.jsp?boardid=SDM0401000000&mmode=content&mpid=SDM0401000000&skin=notice&pid=21187&cpage=1,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=b1e37c968ac94420815af489a8b63b0c&thumb=Y,2023-04-09,기관,2023-05-16,2023-05-24,어린이/청소년 문화행사
국악,중구,2023 젊은국악 도시樂  [DAY OFF],2023-05-16~2023-05-18,서울남산국악당 야외마당,,전체관람가,,,,,https://www.hanokmaeul.or.kr/ko/g/perf/2023-%ec%a0%8a%ec%9d%80%ea%b5%ad%ec%95%85-%eb%8f%84%ec%8b%9c%ef%a5%9c-day-off,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=5060d72f42c044b199e7b3791821ac82&thumb=Y,2023-04-21,기관,2023-05-16,2023-05-18,기타
교육/체험,종로구,국립고궁박물관 임신부 대상 [왕실 태교] 대면 교육,2023-05-15~2023-06-19,국립고궁박물관(서울시 종로구 효자로12),,임신부,30000,,,,https://www.gogung.go.kr/gogung/main/main.do,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=4fc15678e605442b83430c94695f95a5&thumb=Y,2023-04-26,기관,2023-05-15,2023-06-19,여성 문화행사
기타,송파구,[한성백제박물관] 제4회 백제 그림 그리기 대회,2023-05-15~2023-05-15,한성백제박물관,,전국 초등학생 또는 동일 연령 어린이,,,,,https://baekjemuseum.seoul.go.kr/module/index.jsp?boardid=a&code=EV&mmode=content&mpid=SBM0403000000&pid=21291&strsearch=&d_s_que=&cpage=1,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=414c3b4ee9ae474994549409e2063cc4&thumb=Y,2023-04-07,기관,2023-05-15,2023-05-15,어린이/청소년 문화행사
